FT	ID	RT	WT	ST
137	498	136	0	1
135	497	132	0	3
133	496	132	0	1
131	495	130	0	1
126	494	125	0	1
123	493	122	0	1
118	491	115	0	3
116	492	115	0	1
114	490	112	0	2
113	489	112	0	1
112	488	109	0	3
110	487	108	0	2
109	486	108	0	1
109	482	105	0	4
107	485	106	0	1
107	483	105	0	2
107	484	105	0	2
105	481	104	0	1
104	480	103	0	1
103	479	102	0	1
102	478	100	0	2
98	476	95	1	2
98	473	91	3	4
96	477	95	0	1
95	471	90	3	2
94	475	92	1	1
93	474	92	0	1
93	469	90	0	3
92	470	90	1	1
92	468	90	0	2
90	467	88	0	2
88	466	87	0	1
87	465	86	0	1
86	464	85	0	1
86	463	84	0	2
85	462	83	0	2
84	461	82	0	2
82	460	80	0	2
78	464	76	0	2
76	463	75	0	1
76	462	74	0	2
75	461	73	0	2
72	460	71	0	1
71	459	69	0	2
69	458	68	0	1
69	457	67	0	2
68	456	66	0	2
67	454	65	0	2
66	453	64	1	1
65	451	63	0	2
64	452	63	0	1
64	450	62	0	2
62	449	61	0	1
60	448	59	0	1
60	447	58	0	2
59	445	55	0	4
58	443	53	0	5
57	446	56	0	1
56	442	52	1	3
53	441	51	1	1
52	440	50	1	1
52	439	50	0	2
52	438	50	0	2
49	437	48	0	1
49	434	46	0	3
48	435	47	0	1
48	436	47	0	1
47	433	45	0	2
46	432	44	0	2
43	431	42	0	1
43	429	39	0	4
41	430	40	0	1
40	428	38	0	2
39	427	36	0	3
35	426	34	0	1
35	425	34	0	1
35	424	32	0	3
35	423	31	0	4
31	422	29	0	2
31	421	28	0	3
29	420	27	0	2
27	419	26	0	1
26	418	25	0	1
23	417	22	0	1
23	416	21	0	2
22	415	20	1	1
22	413	19	0	3
21	414	20	0	1
20	412	18	0	2
20	411	17	0	3
12	410	11	0	1
11	408	8	0	3
10	409	9	0	1
9	407	7	0	2
8	406	6	0	2
7	405	5	0	2
5	404	4	0	1
4	403	3	0	1
4	402	2	0	2
2	401	1	0	1
Orders: 100 [Norm:65, Veg:13, VIP:22]
Chiefs: 6 [Norm:3, Veg:2, VIP:0]
Avg Wait = 0.1, Avg Serv = 1.8, Auto-promoted = 0.0%
